#K-Path          Energy     s     py     pz     px    dxy    dyz    dz2    dxz  x2-y2    tot
# NKPTS & NBANDS: 600  14
# Band-Index    1
   0.00000    -12.139361  0.424  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.424
   0.01005    -12.139035  0.424  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.424
   0.02011    -12.138049  0.424  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.424
   0.03016    -12.136404  0.424  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.424
   0.04021    -12.134099  0.424  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.424
   0.05027    -12.131136  0.424  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.424
   0.06032    -12.127517  0.424  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.424
   0.07037    -12.123236  0.424  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.424
   0.08043    -12.118298  0.424  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.424
   0.09048    -12.112703  0.424  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.424
   0.10053    -12.106451  0.424  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.424
   0.11059    -12.099543  0.424  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.424
   0.12064    -12.091980  0.424  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.424
   0.13070    -12.083762  0.424  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.424
   0.14075    -12.074891  0.424  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.424
   0.15080    -12.065367  0.424  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.424
   0.16086    -12.055192  0.424  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.426
   0.17091    -12.044367  0.424  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.426
   0.18096    -12.032893  0.424  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.426
   0.19102    -12.020772  0.422  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.426
   0.20107    -12.008006  0.422  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.426
   0.21112    -11.994601  0.422  0.002  0.002  0.002  0.000  0.000  0.000  0.000  0.000  0.426
   0.22118    -11.980554  0.422  0.002  0.002  0.002  0.000  0.000  0.000  0.000  0.000  0.426
   0.23123    -11.965865  0.422  0.002  0.002  0.002  0.000  0.000  0.000  0.000  0.000  0.426
   0.24128    -11.950538  0.422  0.002  0.002  0.002  0.000  0.000  0.000  0.000  0.000  0.426
   0.25134    -11.934574  0.422  0.002  0.002  0.002  0.000  0.000  0.000  0.000  0.000  0.426
   0.26139    -11.917975  0.422  0.002  0.002  0.002  0.000  0.000  0.000  0.000  0.000  0.426
   0.27144    -11.900743  0.422  0.002  0.002  0.002  0.000  0.000  0.000  0.000  0.000  0.426
   0.28150    -11.882882  0.422  0.002  0.002  0.002  0.000  0.000  0.000  0.000  0.000  0.428
   0.29155    -11.864393  0.422  0.002  0.002  0.002  0.000  0.000  0.000  0.000  0.000  0.428
   0.30160    -11.845279  0.422  0.002  0.002  0.002  0.000  0.000  0.000  0.000  0.000  0.428
   0.31166    -11.825544  0.422  0.002  0.002  0.002  0.000  0.000  0.000  0.000  0.000  0.428
   0.32171    -11.805198  0.422  0.002  0.002  0.002  0.000  0.000  0.000  0.000  0.000  0.428
   0.33176    -11.784229  0.420  0.002  0.002  0.002  0.000  0.000  0.000  0.000  0.000  0.428
   0.34182    -11.762648  0.420  0.002  0.002  0.002  0.000  0.000  0.000  0.000  0.000  0.428
   0.35187    -11.740449  0.420  0.002  0.002  0.002  0.000  0.000  0.000  0.000  0.000  0.428
   0.36193    -11.717655  0.420  0.002  0.002  0.002  0.000  0.000  0.000  0.000  0.000  0.430
   0.37198    -11.694260  0.420  0.004  0.004  0.004  0.000  0.000  0.000  0.000  0.000  0.430
   0.38203    -11.670270  0.420  0.004  0.004  0.004  0.000  0.000  0.000  0.000  0.000  0.430
   0.39209    -11.645688  0.420  0.004  0.004  0.004  0.000  0.000  0.000  0.000  0.000  0.430
   0.40214    -11.620511  0.420  0.004  0.004  0.004  0.000  0.000  0.000  0.000  0.000  0.430
